step,sim_time_s,phase,active_gate_index,gate_detected,gate_confidence,pose_confidence,tracking_error_m,x,y,z,vx,vy,vz,yaw_rad,ax_cmd,ay_cmd,az_cmd,yaw_rate_cmd
0,0.0,approach,0,1,0.9995286592037707,0.9995286592037121,0.0,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.5200000000000005,0.0,0.0,0.0
1,0.05,approach,0,1,0.9995286592037707,0.9995286592037123,0.15118457644963265,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.583070762956071,0.004334093212926588,-0.0027789372423519063,0.0
2,0.1,approach,0,1,0.9995286592037707,0.9995286592037123,0.2935390280782042,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.6308085210515966,0.007280387307291461,0.0030046922679941896,0.0
3,0.15000000000000002,approach,0,1,0.9995286592037707,0.9995286592037123,0.4800000000000001,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.751116619807495,0.007619398306443836,0.002916102028054516,0.0
4,0.2,approach,0,1,0.9995454914373831,0.9995362337088569,0.6039243221833401,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.753006271498256,0.0006231194872061699,0.0015623636977070922,0.0
5,0.25,approach,0,1,0.9995454914373831,0.9995403996866865,0.7183355538300031,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.738216814026936,0.0010747715096282903,0.003208254960162873,0.0
6,0.3,approach,0,1,0.9995454914373831,0.9995426909744929,0.9600000000000001,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.9453619018800685,0.003988570738231723,0.006177009614952074,0.0
7,0.35,approach,0,1,0.9995614378573106,0.9995511270717117,1.0554032372970286,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.8930524938131548,0.005661946182626034,0.009912868287562743,0.0
8,0.39999999999999997,approach,0,1,0.9995614378573106,0.999555766925182,1.1409945720283998,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,3.822694373010015,0.0013205794835599064,0.009885126183719367,0.0
9,0.44999999999999996,approach,0,1,0.9995765595463137,0.9995651236046155,1.44,21.449302200528244,-1.1210960231788154,0.2118858587511811,1.8775904874165887,-1.446025260775996,0.09735249916003923,-0.14475621179419987,4.124143555556797,-0.00169818663468364,0.013475277591724167,0.0
