step,sim_time_s,phase,active_gate_index,gate_detected,gate_confidence,pose_confidence,tracking_error_m,x,y,z,vx,vy,vz,yaw_rad,ax_cmd,ay_cmd,az_cmd,yaw_rate_cmd
0,0.0,acquire_gate,0,0,0.0,0.0,0.0,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,2.798754933256709,0.08349145807346203,0.0,0.13000000000000012
1,0.05,approach,0,1,0.9995286592037707,0.946908861393785,0.1329842640337992,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,2.857692536587942,0.09155648727586381,-0.004033562917169011,0.12155000000000019
2,0.1,approach,0,1,0.9995329441201,0.9302227136138269,0.2800000000000001,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,2.93931364849737,0.09744932743157303,0.00432112126461404,0.11364925000000024
3,0.15000000000000002,approach,0,1,0.9995329441201,0.9241825876531902,0.3989152592420308,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,2.975007717435148,0.10006159913890426,0.004408701838309267,0.1062620487499999
4,0.2,approach,0,1,0.9994793388429752,0.9521510167407989,0.5599999999999999,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.064196359875548,0.09224503058742299,0.002181635459598829,0.09935501558124997
5,0.25,approach,0,1,0.9994793388429752,0.9621745102816524,0.6634073643606567,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.061846398511494,0.09296860256863014,0.004587129614694648,0.09289693956846855
6,0.3,approach,0,1,0.9963923382842301,0.9331070108387233,0.8399999999999996,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.176308230802579,0.10049375148078929,0.008949040123354016,0.0868586384965183
7,0.35,approach,0,1,0.9995495495495494,0.9326344063180092,0.9281354088314487,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.1532571335923203,0.10214103737356442,0.014403257201749706,0.08121282699424444
8,0.39999999999999997,approach,0,1,0.9994977678571428,0.9427895517596261,1.1200000000000003,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.1985001332878102,0.09706222443037216,0.013259786819203083,0.0759339932396189
9,0.44999999999999996,approach,0,1,0.9964951094550536,0.9314032877548597,1.1923529136353523,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.1985973603908,0.0926397252306046,0.01981936957142049,0.0709982836790434
10,0.49999999999999994,approach,0,1,0.9965026697177726,0.9256058713633527,1.3999999999999997,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.198750085389568,0.08580189237506233,0.025217582855826245,0.06638339523990565
11,0.5499999999999999,approach,0,1,0.996562968515742,0.9242243720018029,1.4564376041178921,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.198666846238459,0.08775890963985075,0.028788549003670148,0.062068474549311595
12,0.6,approach,0,1,0.9995909124114253,0.9318339225936223,1.6799999999999997,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.1986071273454875,0.0908825903855576,0.025549944412076794,0.05803402370360655
13,0.65,approach,0,1,0.9995513459621137,0.9354832331976494,1.7199847927540977,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.1986295621801566,0.09198158075462558,0.017558836779833477,0.05426181216287231
14,0.7000000000000001,approach,0,1,0.9966976584022038,0.9284819718209674,1.96,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.198701719743211,0.09066533702235449,0.009332993862978605,0.05073479437228561
15,0.7500000000000001,approach,0,1,0.9996237570545552,0.9640528644377238,1.9845845553181256,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.1985661355759696,0.09516735600967119,0.010855906076434566,0.04743703273808682
16,0.8000000000000002,approach,0,1,0.9968161290322579,0.9423182452757368,2.2400000000000007,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.198488353692328,0.09793908402886296,0.008954725798531153,0.044353625610111316
17,0.8500000000000002,approach,0,1,0.9996527993055986,0.9407219859396305,2.2489432086205263,15.404474677603483,-1.8354978746497468,0.2768297233355609,1.1102112864992724,-0.5941929593074449,0.0649569748541716,-0.25451879418322776,3.19842995057304,0.10007858927103497,0.005488829279786014,0.041470639945453906
