step,sim_time_s,phase,active_gate_index,gate_detected,gate_confidence,pose_confidence,tracking_error_m,x,y,z,vx,vy,vz,yaw_rad,ax_cmd,ay_cmd,az_cmd,yaw_rate_cmd
0,0.0,approach,0,1,0.9995286592037707,0.9995286592037121,0.0,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.5999999999999996,0.0,0.0,0.0
1,0.05,approach,0,1,0.9995286592037707,0.9995286592037123,0.141,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.6378,0.0,0.0,0.0
2,0.1,approach,0,1,0.9995286592037707,0.9995286592037123,0.2729055,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.6569619,0.0,0.0,0.0
3,0.15000000000000002,approach,0,1,0.9995286592037707,0.9995286592037123,0.45000000000000007,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.756314286,0.0,0.0,0.0
4,0.2,approach,0,1,0.9995454914373831,0.9995362337088569,0.563372309535,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.735005586003,0.0,0.0,0.0
5,0.25,approach,0,1,0.9995454914373831,0.9995403996866865,0.6674071051049923,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.6981678828688063,0.0,0.0,0.0
6,0.3,approach,0,1,0.9995454914373831,0.9995426909744929,0.8999999999999999,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.8949450207076914,0.0,0.0,0.0
7,0.35,approach,0,1,0.9995614378573106,0.9995511270717117,0.9850520133110512,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.8143419434251227,0.0,0.0,0.0
8,0.39999999999999997,approach,0,1,0.9995614378573106,0.999555766925182,1.0605681717635396,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.721410512034094,0.0,0.0,0.0
9,0.44999999999999996,approach,0,1,0.9995765595463137,0.9995651236046155,1.35,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,4.0,0.0,0.0,0.0
10,0.49999999999999994,approach,0,1,0.9995909124114253,0.9995767285676278,1.4062126321724029,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.880285910048002,0.0,0.0,0.0
11,0.5499999999999999,approach,0,1,0.9995909124114253,0.9995831112972846,1.4527245495696857,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.731190206760231,0.0,0.0,0.0
12,0.6,approach,0,1,0.9996045477014335,0.9995927576790896,1.8000000000000003,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,4.0,0.0,0.0,0.0
13,0.65,approach,0,1,0.9996175124649955,0.9996038973326818,1.8271839418803828,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.9413457005138723,0.0,0.0,0.0
14,0.7000000000000001,approach,0,1,0.9996298499570362,0.9996155760135655,1.8445145195094812,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,3.7360599982154166,0.0,0.0,0.0
15,0.7500000000000001,approach,0,1,0.9996527993055986,0.9996323264948703,2.2500000000000004,15.410533941984253,1.426346863914729,0.0,2.60510279261813,0.8579533420847234,0.0,0.18723478017375397,4.0,0.0,0.0,0.0
