step,sim_time_s,phase,active_gate_index,gate_detected,gate_confidence,pose_confidence,tracking_error_m,x,y,z,vx,vy,vz,yaw_rad,ax_cmd,ay_cmd,az_cmd,yaw_rate_cmd
0,0.0,approach,0,1,0.9995286592037707,0.9995286592037121,0.0,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.5999999999999996,0.0,0.0,0.0
1,0.05,approach,0,1,0.9995286592037707,0.9995286592037121,0.14104860914830744,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.6390532848558848,-0.0022862891750652105,-0.0009067687621543568,0.0
2,0.1,approach,0,1,0.9995286592037707,0.9995286592037121,0.2730304232450437,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.6590177090384217,0.0005081580324552636,-0.0032309154165217797,0.0
3,0.15000000000000002,approach,0,1,0.9995286592037707,0.9995286592037121,0.45,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.7577512792395034,-0.0014098136707106272,-0.0016802771620605301,0.0
4,0.2,approach,0,1,0.9995454914373831,0.9995353920971741,0.5633997875431211,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.7357144425664535,0.001777423165622034,0.0006145367439401664,0.0
5,0.25,approach,0,1,0.9995454914373831,0.9995394318332513,0.6674798123238018,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.699384186585566,0.0006224959019328992,0.0007254731253636844,0.0
6,0.3,approach,0,1,0.9995454914373831,0.9995418556748976,0.9,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.898468310688698,0.0015035181889604704,9.249033313910596e-05,0.0
7,0.35,approach,0,1,0.9995614378573106,0.999549688547819,0.9851107517789238,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.8158572209814476,0.0020422873968558115,0.002669975074579085,0.0
8,0.39999999999999997,approach,0,1,0.9995614378573106,0.9995543882715718,1.060652355939666,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.7221718471652525,0.0032902384729614495,0.0034906343032403016,0.0
9,0.44999999999999996,approach,0,1,0.9995765595463137,0.9995632567814012,1.35,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.9999954596684306,0.0056192996556476155,0.0021785553278215386,0.0
10,0.49999999999999994,approach,0,1,0.9995909124114253,0.9995743190333645,1.4061714959521618,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.879224079063783,0.00390552879675129,0.0009082025009796617,0.0
11,0.5499999999999999,approach,0,1,0.9995909124114253,0.9995809563845425,1.4525908225500614,9.332919749501173,0.0030875645036606046,-0.00011050269871505746,3.522114722757855,0.006172957139353785,0.002000885239170023,0.0,3.7287261497780966,0.0038936111972205307,0.003930804159394632,0.0
